#,id,age,district,activity_frequency,barrier_details,created_at,activity_types,development_ideas,missing_infrastructure,sports_accessibility_rating,usage_barriers,agree_personal_data,agree_privacy_policy,marker,development_priorities,preferred_events
198,198,36-45,Медеуский,Несколько раз в неделю,-,2025-06-17 09:57:11.367654 +00:00,"""Бег, Теннис / настольный теннис, Йога / фитнес / групповые занятия""",-,"""Спортивные площадки, Скамейки и уличная мебель, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Недостаток бесплатных площадок, Мало информации, Отсутствие туалетов / питьевой воды""",true,true,POINT (76.9989134 43.2177354),"""{\""Питьевые фонтанчики, туалеты\"":5,\""Озеленение и тень (деревья)\"":4,\""Велодорожки и беговые дорожки\"":3,\""Детские площадки \"":3,\""Амфитеатр / сцена для мероприятий \"":2,\""Скамейки и навесы \"":4,\""Пешеходные улицы \"":4}""",-
199,199,36-45,Медеуский,Несколько раз в неделю,Нет,2025-06-17 09:59:33.388626 +00:00,"""Йога / фитнес / групповые занятия""",Йога,"""Бассейн / водные объекты, Зоны для семейного отдыха, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":5,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":5,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":5}""","""Отсутствие туалетов / питьевой воды""",true,true,POINT (76.92526903646083 43.23622169832795),"""{\""Скамейки и навесы \"":2,\""Пешеходные улицы \"":5,\""Амфитеатр / сцена для мероприятий \"":1,\""Детские площадки \"":1,\""Велодорожки и беговые дорожки\"":4,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":1}""",Событийные площадки
200,200,26-35,Бостандыкский,Ежедневно,-,2025-06-17 10:02:18.745616 +00:00,"""Йога / фитнес / групповые занятия, Плавание / аквааэробика, Зимние виды спорта (лыжи, коньки)""",-,"""Уличные тренажёры, Скамейки и уличная мебель""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":5,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":5,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Плохое состояние объектов, Слишком шумно / много машин""",true,true,,"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":2,\""Детские площадки \"":5,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5}""",-
201,201,36-45,Алмалинский,Ежедневно,"Город почти остался без деревьев , дышать нечем",2025-06-17 10:04:48.541080 +00:00,"""""",Для детей подростков стариков,"""Теневые навесы / зелёные аллеи, Бассейн / водные объекты, Спортивные площадки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Недостаток бесплатных площадок, Плохое состояние объектов, Отсутствие безопасности""",true,true,,"""{\""Пешеходные улицы \"":1,\""Скамейки и навесы \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":2,\""Озеленение и тень (деревья)\"":1,\""Питьевые фонтанчики, туалеты\"":1}""","Мониторинг дворов на районе , обязать кск обновить вассалы домой которые старых построек"
202,202,26-35,Алатау ауданы,Күн сайын,"Машиналардың көптігі, балаларға қауіпсіз емес,  алаң болса да, ойын құрылғыларының жоқтығы. 
Тазалықтың жоқтығы. Жарықтың жоқтығы. Субұрқағының жоқтығы.",2025-06-17 10:05:39.329909 +00:00,"""Басқа…""","Су бұрқағы, көлеңкелі орындар, таза аула,орындықтар","""Қысқы нысандар (мұз айдыны, шаңғы жолы), Су бұрқақтар/қоғамдық дәретханалар, Көлеңкелік шатырлар / жасыл аллеялар""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":3,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":5,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":2,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":2,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":2,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":2,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":1}""","""Нысандардың нашар жағдайы, Қауіпсіздіктің болмауы, Тым шулы / тым көп көліктер""",true,true,,"""{\""Жаяу жүргіншілер көшелері\"":2,\""Орындықтар мен көлеңке\"":1,\""Іс-шараларға арналған амфитеатр\"":1,\""Балалар алаңдары\"":3,\""Веложолдар & жүгiру жолдары\"":1,\""Көгалдандыру, көлеңке\"":1,\""Iшу су бұрқақтары, дәретханалар\"":1}""",.
203,203,Старше 60 лет,Алмалинский,Несколько раз в неделю,Пробки на улицах,2025-06-17 10:05:40.196638 +00:00,"""Йога / фитнес / групповые занятия, Плавание / аквааэробика, Зимние виды спорта (лыжи, коньки)""",Концерты,"""Бассейн / водные объекты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":4,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Транспортная недоступность, Плохое состояние объектов""",true,true,POINT (76.9403695 43.254303),"""{\""Велодорожки и беговые дорожки\"":5}""",Нужно больше бассейнов
204,204,36-45,Медеуский,Несколько раз в неделю,неудобная транспортная инфраструктура,2025-06-17 10:06:42.113348 +00:00,"""пешие прогулки""","туалеты, питьевые фонтанчики, пешие дорожки","""Зоны для семейного отдыха, Зоны для пеших прогулок, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":1}""","""Отсутствие безопасности, Транспортная недоступность, Отсутствие туалетов / питьевой воды""",true,true,,"""{\""Пешеходные улицы \"":5,\""Детские площадки \"":5,\""Питьевые фонтанчики, туалеты\"":5,\""Озеленение и тень (деревья)\"":4,\""Велодорожки и беговые дорожки\"":3,\""Амфитеатр / сцена для мероприятий \"":1,\""Скамейки и навесы \"":3}""","создание семейных зон отдыха, с туалетами, питьевыми фонтанчиками"
205,205,26-35,Ауэзовский,Несколько раз в месяц,"Плохая транспортная доступность , необходимо развивать транспорт троллейбусы, автобусы. Большие автобусы гармошки. Сокращение интервала между автобусами. Развитие иногороднего транспорта с комфортабельными сидячими автобусами в пригороды Талгар, Конаев, Узынагаш, Каскелен и др.",2025-06-17 10:07:32.427845 +00:00,"""Футбол / мини-футбол, Теннис / настольный теннис""",Беговые забеги,"""Спортивные площадки, Уличные тренажёры, Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Недостаток бесплатных площадок, Плохое состояние объектов, Отсутствие туалетов / питьевой воды""",true,true,POINT (76.9097728 43.2406528),"""{\""Пешеходные улицы \"":5,\""Детские площадки \"":5,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5}""",От Шаляпина Момышулы до рынка Арыстан вдоль улицы можно сделать пешеходное пространства по аналогу ул Панфилова. Районный арбат. Место для этого имеется вдоль всей улицы Момышулы.
206,206,36-45,Бостандыкский,Несколько раз в месяц,"В целом мест мало, нет велосипедных дорожек, спортивных площадок, футбольных полей итд",2025-06-17 10:08:30.823638 +00:00,"""Бег, Футбол / мини-футбол, Йога / фитнес / групповые занятия""","Мастерклассы, благоустройство","""Уличные тренажёры, Велодорожки / беговые дорожки, Спортивные площадки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Отсутствие туалетов / питьевой воды, Отсутствие пешеходного доступа / тротуаров, Плохое состояние объектов""",true,true,,"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":4,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5}""","Больше деревьев, в арыках нет воды, мусорные корзины, площадки"
207,207,60 жастан жоғары,Бостандық ауданы,Сирек (жылына бірнеше рет),Көп нысандар жақсы,2025-06-17 10:12:32.180834 +00:00,"""Басқа…""","Бәрі бар ,","""Жаяу жүру аймақтары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":4,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":1,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":4,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":5,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":1,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":5,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":5}""","""Дәретхананың/ауыз судың болмауы""",true,true,,"""{\""Жаяу жүргіншілер көшелері\"":5,\""Орындықтар мен көлеңке\"":4,\""Іс-шараларға арналған амфитеатр\"":5,\""Балалар алаңдары\"":1,\""Веложолдар & жүгiру жолдары\"":2,\""Көгалдандыру, көлеңке\"":3,\""Iшу су бұрқақтары, дәретханалар\"":5}""",Тоғай көп егу керек
208,208,60 жастан жоғары,Бостандық ауданы,Сирек (жылына бірнеше рет),Көп нысандар жақсы,2025-06-17 10:12:32.184158 +00:00,"""Басқа…""","Бәрі бар ,","""Жаяу жүру аймақтары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":4,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":1,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":4,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":5,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":1,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":5,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":5}""","""Дәретхананың/ауыз судың болмауы""",true,true,,"""{\""Жаяу жүргіншілер көшелері\"":5,\""Орындықтар мен көлеңке\"":4,\""Іс-шараларға арналған амфитеатр\"":5,\""Балалар алаңдары\"":1,\""Веложолдар & жүгiру жолдары\"":2,\""Көгалдандыру, көлеңке\"":3,\""Iшу су бұрқақтары, дәретханалар\"":5}""",Тоғай көп егу керек
209,209,60 жастан жоғары,Бостандық ауданы,Сирек (жылына бірнеше рет),Көп нысандар жақсы,2025-06-17 10:12:32.186903 +00:00,"""Басқа…""","Бәрі бар ,","""Жаяу жүру аймақтары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":4,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":1,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":4,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":5,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":1,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":5,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":5}""","""Дәретхананың/ауыз судың болмауы""",true,true,,"""{\""Жаяу жүргіншілер көшелері\"":5,\""Орындықтар мен көлеңке\"":4,\""Іс-шараларға арналған амфитеатр\"":5,\""Балалар алаңдары\"":1,\""Веложолдар & жүгiру жолдары\"":2,\""Көгалдандыру, көлеңке\"":3,\""Iшу су бұрқақтары, дәретханалар\"":5}""",Тоғай көп егу керек
210,210,26-35,Бостандыкский,Несколько раз в неделю,"Очень много людей, возникает столпотворение в любом общественном месте, в выходные дни вообще невозможно где-то отдохнуть.",2025-06-17 10:14:59.465733 +00:00,"""Ходьба, Йога / фитнес / групповые занятия""",Спортивные мастер-классы,"""Велодорожки / беговые дорожки, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":5,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Нехватка тени / скамеек, Отсутствие туалетов / питьевой воды, Слишком шумно / много машин""",true,true,,"""{\""Велодорожки и беговые дорожки\"":5,\""Амфитеатр / сцена для мероприятий \"":4}""","Невозможно ходить по тротуарам, постоянно боишься, что наедут люди на самокатах, им нужна отдельная дорожка."
211,211,До 18 лет,Жетысуский,Несколько раз в неделю,Пешеходов нет! Постоянно мусор,2025-06-17 10:20:20.907527 +00:00,"""Волейбол, Йога / фитнес / групповые занятия""",Живая музыка,"""Зоны для пеших прогулок, Скамейки и уличная мебель, Теневые навесы / зелёные аллеи""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Недостаток бесплатных площадок, Плохое состояние объектов, Нехватка тени / скамеек""",true,true,,"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":1,\""Озеленение и тень (деревья)\"":3,\""Питьевые фонтанчики, туалеты\"":1}""",Добавьте нормальные футбольные поля
212,212,36-45,Бостандыкский,Несколько раз в месяц,Нет,2025-06-17 10:22:18.865924 +00:00,"""Бег, Йога / фитнес / групповые занятия""",Кинотеатр под открытым небом,"""Велодорожки / беговые дорожки, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Плохое состояние объектов, Отсутствие туалетов / питьевой воды""",true,true,,"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":4,\""Амфитеатр / сцена для мероприятий \"":3,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":3,\""Озеленение и тень (деревья)\"":3,\""Питьевые фонтанчики, туалеты\"":5}""",Выше
213,213,36-45,Бостандыкский,Редко,Нет информации,2025-06-17 10:26:25.655809 +00:00,"""Йога / фитнес / групповые занятия, Зимние виды спорта (лыжи, коньки), Плавание / аквааэробика""",Не применимо,"""Зоны для пеших прогулок, Зоны для семейного отдыха, Теневые навесы / зелёные аллеи""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Мало информации""",true,true,POINT (76.92210156556223 43.193079495931215),"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":5,\""Детские площадки \"":5,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5,\""Амфитеатр / сцена для мероприятий \"":2,\""Питьевые фонтанчики, туалеты\"":4}""",Нужен парк вдоль реки Теренкулак
214,214,26-35,Бостандыкский,Несколько раз в неделю,.,2025-06-17 10:27:39.028857 +00:00,"""Бег""",нет,"""Бассейн / водные объекты, Зоны для пеших прогулок, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":4,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":2,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Нехватка тени / скамеек, Отсутствие туалетов / питьевой воды, Слишком шумно / много машин""",true,true,POINT (76.8999576 43.2346902),"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":4,\""Амфитеатр / сцена для мероприятий \"":2,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":2,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":5}""","туалеты открыть, или сделать платные с автоматической системой оплаты. сейчас они хоть и стоят но закрыты все"
215,215,36-45,Бостандыкский,Несколько раз в неделю,"Критично мало, практически отсутствуют в пешей доступности общественные пространства для отдыха и спорта в Бостандыкском районе, квадрат Абая-Темирязьева-Розыбакиева-Тлендиева. Сплошная застройка ЖК",2025-06-17 10:38:24.047124 +00:00,"""Зимние виды спорта (лыжи, коньки), Велоспорт / скейт / роллеры / самокат""",Нет таких пространств в пешей доступности.,"""Зоны для пеших прогулок, Теневые навесы / зелёные аллеи, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Плохое состояние объектов, Отсутствие туалетов / питьевой воды, Отсутствие пешеходного доступа / тротуаров""",true,true,,"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":4,\""Амфитеатр / сцена для мероприятий \"":3,\""Детские площадки \"":4,\""Велодорожки и беговые дорожки\"":4,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5}""","Инфраструктура и комфорт
Установка многофункциональных скамеек с навесами и USB-зарядками, особенно вблизи ТРЦ и парков. Современное LED-освещение аллей и дворов, а также доступные решения — пандусы, тактильные дорожки, скамейки для пожилых.
 Озеленение и экология
Засухаустойчивое озеленение, вертикальные сады, восстановление и благоустройство русел малых рек. На пустырях — мини-лесопарки (метод Мияваки), во дворах — городские огороды и клумбы силами жителей.
События и культура
Создание мобильных сцен и амфитеатров для концертов, лекций и кино. Организация ярмарок и фудкортов на открытом воздухе. Сезонные культурные программы: «Летние киноночи», «Парк-знаний», «Экодень района».
 Мобильность и активность
Развитие сети велодорожек, безопасные маршруты для самокатов. Установка work-out зон, площадок для йоги, шахматных столов. Пространства для всех возрастов, включая зоны тишины и активности.
Просвещение и вовлечение
Арт-объекты и муралы с участием местных жителей, информационные стенды с QR-кодами об истории района и его природе. Проведение открытых встреч, субботников, мастер-классов для школьников и студентов."
216,216,36-45,Медеу ауданы,Күн сайын,Освещение и бродячие собаки,2025-06-17 10:39:05.335469 +00:00,"""Басқа…""",Освещение и безопасность от бродячих собак,"""Спорттық алаңдар, Жаяу жүру аймақтары, Орындықтар мен көше жиһаздары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":5,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":4,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":1,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":1,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":1,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":4,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":4}""","""Ыңғайсыз кесте, Қауіпсіздіктің болмауы, Дәретхананың/ауыз судың болмауы""",true,true,,"""{\""Балалар алаңдары\"":1,\""Көгалдандыру, көлеңке\"":1,\""Жаяу жүргіншілер көшелері\"":1}""",Освещение и бродячие собаки
